Adipocyte
AlverolarType2,Immune
CardiacFibroblasts
CardiacPericyte2
CardiacPericyte3
CardiacPericyte4
EndothelialCell(General)1
EndothelialCell(General)2
EndothelialCell(General)3
EndothelialCell(Myocardial)
Fibroblast(General)
LymphaticEndothelialCell
Macrophage(General,Alveolar)
Macrophage(General)
MastCell
MesothelialCell
NaiveTcell
Pericyte(EsophagealMuscularis)
Pericyte(General)1
Pericyte(General)2
Pericyte(General)3
Pericyte(General)4
PlasmaCell
SchwannCell(General)
SmoothMuscle(General)
TLymphocyte1(CD8+)
VascularSmoothMuscle1
VascularSmoothMuscle2
